epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,165.76,6.03568,0.01081,0.03459,5.96013,7.97133e-06,7.97133e-06,7.97133e-06
2,329.546,5.73067,0.03892,0.12649,5.59644,1.58132e-05,1.58132e-05,1.58132e-05
3,485.046,5.34819,0.0973,0.22054,5.15086,2.34967e-05,2.34967e-05,2.34967e-05
4,640.09,4.97215,0.1427,0.29081,4.75216,2.32872e-05,2.32872e-05,2.32872e-05
5,805.668,4.63918,0.20108,0.35784,4.39258,2.30496e-05,2.30496e-05,2.30496e-05
6,975.675,4.325,0.26054,0.42162,4.05765,2.2812e-05,2.2812e-05,2.2812e-05
7,1147.55,4.05566,0.29297,0.48,3.78179,2.25744e-05,2.25744e-05,2.25744e-05
8,1283.82,3.78735,0.32649,0.51243,3.526,2.23368e-05,2.23368e-05,2.23368e-05
9,1418.31,3.58389,0.36108,0.55243,3.30933,2.20992e-05,2.20992e-05,2.20992e-05
10,1551.22,3.385,0.39459,0.57189,3.12534,2.18616e-05,2.18616e-05,2.18616e-05
11,1684.62,3.20761,0.42378,0.60757,2.94922,2.1624e-05,2.1624e-05,2.1624e-05
12,1820.83,3.04811,0.44541,0.64108,2.78913,2.13864e-05,2.13864e-05,2.13864e-05
13,1955.36,2.90738,0.46703,0.66703,2.63487,2.11488e-05,2.11488e-05,2.11488e-05
14,2090.15,2.78643,0.4973,0.70378,2.48148,2.09112e-05,2.09112e-05,2.09112e-05
15,2224.45,2.64867,0.52,0.72216,2.35156,2.06736e-05,2.06736e-05,2.06736e-05
16,2358.41,2.54126,0.53405,0.73081,2.22333,2.0436e-05,2.0436e-05,2.0436e-05
17,2492.43,2.43888,0.55135,0.74703,2.12029,2.01984e-05,2.01984e-05,2.01984e-05
18,2627.42,2.32871,0.57622,0.76216,2.00643,1.99608e-05,1.99608e-05,1.99608e-05
19,2761.56,2.24654,0.60108,0.7773,1.90079,1.97232e-05,1.97232e-05,1.97232e-05
20,2896.27,2.15032,0.62378,0.80108,1.80947,1.94856e-05,1.94856e-05,1.94856e-05
21,3031.21,2.04769,0.63568,0.81189,1.71501,1.9248e-05,1.9248e-05,1.9248e-05
22,3165.57,1.97563,0.6573,0.83351,1.6266,1.90104e-05,1.90104e-05,1.90104e-05
23,3300.02,1.91546,0.65946,0.84108,1.55597,1.87728e-05,1.87728e-05,1.87728e-05
24,3434.94,1.84307,0.67784,0.84649,1.47666,1.85352e-05,1.85352e-05,1.85352e-05
25,3569.09,1.78883,0.69405,0.86595,1.40081,1.82976e-05,1.82976e-05,1.82976e-05
26,3704.08,1.70604,0.71676,0.87351,1.3291,1.806e-05,1.806e-05,1.806e-05
27,3838.64,1.63265,0.71892,0.87892,1.25963,1.78224e-05,1.78224e-05,1.78224e-05
28,3973.53,1.57411,0.7427,0.88432,1.19141,1.75848e-05,1.75848e-05,1.75848e-05
29,4108.12,1.55325,0.75351,0.89405,1.13541,1.73472e-05,1.73472e-05,1.73472e-05
30,4242.78,1.465,0.75784,0.9027,1.08137,1.71096e-05,1.71096e-05,1.71096e-05
31,4377.23,1.4364,0.76432,0.91135,1.04224,1.6872e-05,1.6872e-05,1.6872e-05
32,4511.47,1.38153,0.7827,0.92432,0.97949,1.66344e-05,1.66344e-05,1.66344e-05
33,4646.15,1.32994,0.79351,0.92324,0.92863,1.63968e-05,1.63968e-05,1.63968e-05
34,4780.33,1.30105,0.79135,0.93405,0.89234,1.61592e-05,1.61592e-05,1.61592e-05
35,4914.73,1.26725,0.80324,0.9373,0.85777,1.59216e-05,1.59216e-05,1.59216e-05
36,5050.81,1.23324,0.81838,0.94811,0.8167,1.5684e-05,1.5684e-05,1.5684e-05
